"Rank","Player","Team","Position","Points","Games","Avg"
"375","Derek Watt","LAC","RB","0.1","1","0.1"
"376","Sean Culkin","LAC","TE","0.0","1","0.0"
"376","Gabe Holmes","ARI","TE","0.0","1","0.0"
"376","Nick Williams","LAR","WR","0.0","2","0.0"
"376","Justin Watson","TB","WR","0.0","2","0.0"
"376","Brian Parker","DEN","TE","0.0","2","0.0"
"376","Kyle Sloter","MIN","QB","0.0","1","0.0"
"376","Jeremy Sprinkle","WAS","TE","0.0","1","0.0"
"376","Cam Batson","TEN","WR","0.0","1","0.0"
"376","Joe Webb","HOU","QB","0.0","2","0.0"
"376","Ameer Abdullah","DET","RB","0.0","1","0.0"
"376","Ricky Ortiz","ATL","RB","0.0","1","0.0"
"376","Michael Floyd","WAS","WR","0.0","1","0.0"
"376","Geremy Davis","LAC","WR","0.0","1","0.0"
"376","Dontrell Hilliard","CLE","RB","0.0","1","0.0"
"376","Elijhaa Penny","NYG","RB","0.0","2","0.0"
"376","Ben Braunecker","CHI","TE","0.0","2","0.0"
"376","Mason Schreck","CIN","TE","0.0","1","0.0"
"376","Brandon Zylstra","MIN","WR","0.0","1","0.0"
"376","Jaydon Mickens","JAC","WR","0.0","6","0.0"
"376","Cody Core","CIN","WR","0.0","1","0.0"
"376","Matt Slater","NE","WR","0.0","4","0.0"
"376","Brandon Bolden","MIA","RB","0.0","3","0.0"
"376","Javon Wims","CHI","WR","0.0","1","0.0"
"376","Darrius Heyward-Bey","PIT","WR","0.0","2","0.0"
"376","Tra Carson","GB","RB","0.0","1","0.0"
"376","Mike Wallace","PHI","WR","0.0","1","0.0"
"376","Tommylee Lewis","NO","WR","0.0","2","0.0"
"376","Deante Burton","ATL","WR","0.0","1","0.0"
"376","Taiwan Jones","BUF","RB","0.0","6","0.0"
"376","Freddie Martino","FA","WR","0.0","1","0.0"
"376","JoJo Natson","LAR","WR","0.0","3","0.0"
"376","Rigoberto Sanchez","IND","K","0.0","6","0.0"
"376","Pharoh Cooper","LAR","WR","0.0","1","0.0"
"376","Damiere Byrd","CAR","WR","0.0","2","0.0"
"376","David Fluellen","TEN","RB","0.0","1","0.0"
"376","Janarion Grant","BAL","WR","0.0","2","0.0"
"376","Trey Quinn","WAS","WR","0.0","1","0.0"
"376","Keon Hatcher","GB","WR","0.0","1","0.0"
"376","Brandon Wilson","CIN","RB","0.0","5","0.0"
"376","Stacy Coley","FA","WR","0.0","2","0.0"
"376","Alan Cross","TB","TE","0.0","1","0.0"
"376","Jehu Chesson","WAS","WR","0.0","1","0.0"
"376","Justin Davis","LAR","RB","0.0","2","0.0"
"376","Durham Smythe","MIA","TE","0.0","2","0.0"
"376","Brandon Tate","FA","WR","0.0","1","0.0"
"376","Jacoby Brissett","IND","QB","0.0","1","0.0"
"376","Gregory Howell","HOU","RB","0.0","2","0.0"
"376","Senorise Perry","MIA","RB","0.0","3","0.0"
"376","Cole Wick","SF","TE","0.0","2","0.0"
"376","Ryan Hewitt","IND","RB","0.0","2","0.0"
"376","Charone Peake","NYJ","WR","0.0","1","0.0"
